"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Bank Accounts Tab","chromium","Wed Feb 12 12:13:19 PST 2025","skipped","Wed Feb 12 12:13:19 PST 2025","TPay V3 - User Profile","TPayWeb_V3\2_UserProfile_TPayV3-Merchant.spec.ts","",""
"","0","Overview Analytics Visibility and Retrieval","chromium","Wed Feb 12 12:12:59 PST 2025","skipped","Wed Feb 12 12:12:59 PST 2025","Dashboard - Analytics","TPayWeb_V3\3_Dashboard_TPayV3_Merchant.spec.ts","",""
"","1","Transaction Table Visibility","chromium","Wed Feb 12 12:12:49 PST 2025","failed","Wed Feb 12 12:12:49 PST 2025","Dashboard - Transaction Table Test","TPayWeb_V3\3_Dashboard_TPayV3_Merchant.spec.ts","",""
"","1","Merchant Details Tab","chromium","Wed Feb 12 12:13:19 PST 2025","skipped","Wed Feb 12 12:13:19 PST 2025","TPay V3 - User Profile","TPayWeb_V3\2_UserProfile_TPayV3-Merchant.spec.ts","",""
"","5819","Valid Login","chromium","Wed Feb 12 12:12:49 PST 2025","passed","Wed Feb 12 12:12:55 PST 2025","Login","TPayWeb_V3\1_Login_TPayV3_Merchant.spec.ts","",""
"","1","Transaction Chart Visibility and Retrieval","chromium","Wed Feb 12 12:12:49 PST 2025","skipped","Wed Feb 12 12:12:49 PST 2025","Dashboard - Analytics","TPayWeb_V3\3_Dashboard_TPayV3_Merchant.spec.ts","",""
"","4496","Invalid Login","chromium","Wed Feb 12 12:12:49 PST 2025","passed","Wed Feb 12 12:12:53 PST 2025","Login","TPayWeb_V3\1_Login_TPayV3_Merchant.spec.ts","",""
"","30137","Profile Tab","chromium","Wed Feb 12 12:12:49 PST 2025","broken","Wed Feb 12 12:13:19 PST 2025","TPay V3 - User Profile","TPayWeb_V3\2_UserProfile_TPayV3-Merchant.spec.ts","",""
"","0","Forgot Password","chromium","Wed Feb 12 12:12:48 PST 2025","skipped","Wed Feb 12 12:12:48 PST 2025","","TPayWeb_V3\1_Login_TPayV3_Merchant.spec.ts","",""
"","6031","Page Number Functionality","chromium","Wed Feb 12 12:12:53 PST 2025","failed","Wed Feb 12 12:12:59 PST 2025","Dashboard - Transaction Table Test","TPayWeb_V3\3_Dashboard_TPayV3_Merchant.spec.ts","",""
"","0","Transaction Table Entry Page","chromium","Wed Feb 12 12:12:59 PST 2025","skipped","Wed Feb 12 12:12:59 PST 2025","Dashboard - Transaction Table Test","TPayWeb_V3\3_Dashboard_TPayV3_Merchant.spec.ts","",""
"","4808","Sign Up - Success","chromium","Wed Feb 12 12:12:49 PST 2025","passed","Wed Feb 12 12:12:53 PST 2025","Sign Up","TPayWeb_V3\1_Login_TPayV3_Merchant.spec.ts","",""
"","4","Show Password & Remember Me Functionality","chromium","Wed Feb 12 12:12:48 PST 2025","skipped","Wed Feb 12 12:12:48 PST 2025","","TPayWeb_V3\1_Login_TPayV3_Merchant.spec.ts","",""
"","0","My Account Tab","chromium","Wed Feb 12 12:13:19 PST 2025","skipped","Wed Feb 12 12:13:19 PST 2025","TPay V3 - User Profile","TPayWeb_V3\2_UserProfile_TPayV3-Merchant.spec.ts","",""
"","9723","User Details Visibility and Retrieval","chromium","Wed Feb 12 12:12:49 PST 2025","failed","Wed Feb 12 12:12:59 PST 2025","Dashboard - User Details","TPayWeb_V3\3_Dashboard_TPayV3_Merchant.spec.ts","",""
"","6091","Transaction Status","chromium","Wed Feb 12 12:12:53 PST 2025","failed","Wed Feb 12 12:12:59 PST 2025","Dashboard - Transaction Table Test","TPayWeb_V3\3_Dashboard_TPayV3_Merchant.spec.ts","",""
